SingleThreaded_cpu,SingleThreaded_wall,SingleThreadedSimd_cpu,SingleThreadedSimd_wall,OpenMP_cpu,OpenMP_wall,OpenMPSimd_cpu,OpenMPSimd_wall,CUDA_cpu,CUDA_wall,CUDASimd_cpu,CUDASimd_wall
850464,850517,353229,353230,5.6699e+06,96743,3.8784e+06,17517,1800,1808,1551,1558
870646,870663,348029,348026,5.63438e+06,98753,3.90827e+06,88863,1681,1686,1483,1488
877871,877877,354271,354269,5.61003e+06,25680,3.71332e+06,18820,1675,1681,1481,1486
866572,866584,354231,354228,5.22737e+06,91314,3.27786e+06,82420,1676,1681,1478,1483
853604,853621,354463,354461,5.6768e+06,100323,3.83407e+06,89905,1679,1684,1479,1485
874695,874687,354232,354299,4.61867e+06,87029,3.79314e+06,18032,1675,1680,1482,1487
882295,882303,354548,354545,5.82928e+06,99760,3.03317e+06,81862,1678,1682,1483,1490
844694,844705,354205,354222,5.59235e+06,97058,4.13283e+06,17169,1676,1680,1496,1503
848339,848356,354603,354602,5.56151e+06,95622,3.82575e+06,91944,1679,1684,1486,1490
876144,876154,354246,354244,5.52682e+06,26933,3.64712e+06,17224,1677,1683,1481,1486
868499,868508,354752,354803,5.37251e+06,98122,3.2649e+06,83492,1675,1680,1481,1486
855471,855520,354157,354155,4.95948e+06,88280,3.70804e+06,17967,1678,1683,1479,1484
851049,851043,354291,354289,5.39551e+06,94513,3.72043e+06,87094,1676,1681,1480,1486
849663,849673,354196,354205,5.22437e+06,96583,3.19186e+06,85715,1678,1682,1480,1484
843728,843738,354154,354152,5.48947e+06,96301,4.11342e+06,17627,1676,1681,1480,1485
914024,914043,354526,354524,6.48578e+06,34754,3.89194e+06,86635,1677,1682,1480,1485
930607,930615,354918,354936,4.04789e+06,85264,3.64298e+06,17152,1679,1684,1480,1485
932989,932998,354610,354609,4.86662e+06,91582,3.61834e+06,89889,1678,1683,1481,1486
966042,966056,354368,354422,5.09131e+06,95492,3.59823e+06,88173,1676,1681,1513,1485
974420,974610,354284,354283,5.15228e+06,93599,3.84489e+06,17703,1681,1687,1480,1485
1.03391e+06,1.03396e+06,354213,354211,5.06204e+06,26347,3.02196e+06,82800,1679,1685,1484,1489
973980,974015,354155,354162,5.33814e+06,92146,4.22318e+06,17316,1679,1684,1481,1486
965490,965536,354457,354456,4.70855e+06,89801,3.72675e+06,91631,1677,1681,1480,1485
966134,966142,354188,354186,5.06242e+06,94943,4.43661e+06,88425,1688,1696,1483,1487
965645,965655,354361,354377,5.29634e+06,95251,2.18074e+06,11412,1684,1689,1480,1484
970234,970450,354412,354410,5.41424e+06,27301,3.80438e+06,17642,1679,1684,1481,1486
999907,999916,354317,354314,5.07488e+06,96228,3.69122e+06,87261,1675,1680,1482,1486
998285,998289,354821,354866,4.42428e+06,84966,3.33741e+06,85823,1681,1686,1481,1486
995098,995109,354400,354398,5.53219e+06,98211,3.97548e+06,17713,1677,1683,1478,1483
998556,998566,354384,354383,5.02228e+06,29929,3.73604e+06,86797,1680,1685,1480,1485
995827,995887,354292,354300,4.96726e+06,87061,4.92918e+06,93646,1677,1682,1480,1485
997819,997822,354489,354487,5.044e+06,97279,2.25478e+06,11088,1680,1685,1480,1486
999191,999309,354444,354441,4.88852e+06,88134,3.73425e+06,17357,1678,1682,1481,1486
1.01767e+06,1.01768e+06,354733,354853,4.86234e+06,95406,3.32264e+06,84564,1679,1685,1481,1486
988275,989232,354139,354138,5.33905e+06,28146,3.59369e+06,88968,1677,1682,1480,1485
964944,964950,354121,354175,5.40511e+06,90488,3.71251e+06,17860,1683,1689,1479,1484
955664,955695,354156,354153,5.15545e+06,97143,2.90733e+06,81912,1686,1691,1480,1485
944899,944891,354109,354107,6.32414e+06,95316,4.17639e+06,17678,1685,1696,1482,1487
965175,965167,354158,354166,3.60903e+06,90286,3.79011e+06,91935,1704,1690,1479,1484
965717,965709,354737,354736,5.77686e+06,94392,3.75609e+06,16770,1683,1689,1480,1486
965137,965130,354451,354451,4.68677e+06,28244,3.81194e+06,86766,1686,1692,1479,1484
966221,966213,354455,354479,5.50402e+06,95031,3.37753e+06,86799,1685,1691,1486,1492
