SingleThreaded_cpu,SingleThreaded_wall,SingleThreadedSimd_cpu,SingleThreadedSimd_wall,OpenMP_cpu,OpenMP_wall,OpenMPSimd_cpu,OpenMPSimd_wall,CUDA_cpu,CUDA_wall,CUDASimd_cpu,CUDASimd_wall
3.98856e+06,3.98869e+06,1.48618e+06,1.48626e+06,1.27814e+07,204508,5.76103e+06,89659,3997,4011,5272,5284
3.95209e+06,3.9524e+06,1.49241e+06,1.49318e+06,1.24856e+07,215085,4.90251e+06,93061,3933,3944,5187,5198
3.93124e+06,3.93134e+06,1.49438e+06,1.4944e+06,1.24146e+07,181289,6.19607e+06,99137,3938,3949,5174,5182
3.94581e+06,3.94591e+06,1.49009e+06,1.49016e+06,1.20148e+07,198382,5.9725e+06,99852,3946,3957,5174,5183
3.88052e+06,3.8807e+06,1.64509e+06,1.64513e+06,1.2313e+07,198301,5.89764e+06,99533,3941,3953,5156,5167
3.89842e+06,3.89846e+06,1.47767e+06,1.47769e+06,1.22196e+07,193206,5.85158e+06,98753,3942,3953,5174,5183
4.14218e+06,4.1424e+06,1.48816e+06,1.4882e+06,1.25067e+07,203933,5.93917e+06,99069,3947,3957,5170,5179
4.0006e+06,4.00066e+06,1.49811e+06,1.49814e+06,1.22057e+07,192657,5.98504e+06,98732,3932,3942,5183,5194
3.98096e+06,3.98108e+06,1.49777e+06,1.4978e+06,1.24197e+07,202386,5.88918e+06,30853,3945,3956,5193,5205
3.95723e+06,3.9574e+06,1.48127e+06,1.48132e+06,1.26284e+07,195409,5.98809e+06,87905,3935,3946,5190,5199
4.61727e+06,4.61737e+06,1.47683e+06,1.47687e+06,1.25973e+07,201236,5.99449e+06,102167,3933,3944,5200,5211
4.53633e+06,4.5365e+06,1.50004e+06,1.50005e+06,1.22009e+07,127231,5.87643e+06,102045,3934,3946,5191,5201
3.9857e+06,3.98592e+06,1.55235e+06,1.55243e+06,1.1965e+07,189118,5.37788e+06,87262,3938,3949,5174,5183
4.3497e+06,4.34981e+06,1.49545e+06,1.49548e+06,1.23222e+07,197431,5.68211e+06,98288,3940,3950,5173,5182
3.99408e+06,3.99424e+06,1.47219e+06,1.47224e+06,1.21045e+07,200829,5.58566e+06,97519,3944,3954,5177,5188
3.9784e+06,3.97859e+06,1.47706e+06,1.47708e+06,1.21009e+07,198425,5.95435e+06,97679,3943,3953,5180,5189
4.2732e+06,4.27338e+06,1.47396e+06,1.47401e+06,1.21002e+07,201022,5.76059e+06,97112,3944,3955,5168,5177
4.1772e+06,4.17728e+06,1.47742e+06,1.47743e+06,1.24629e+07,195756,6.00753e+06,102484,3968,3979,5205,5194
4.18212e+06,4.1827e+06,1.47388e+06,1.47406e+06,1.2507e+07,195648,5.93026e+06,99903,3953,3963,5185,5196
4.07505e+06,4.07502e+06,1.47527e+06,1.47526e+06,1.24672e+07,197520,5.98865e+06,30454,3945,3956,5198,5207
4.0159e+06,4.01587e+06,1.47511e+06,1.4751e+06,1.23107e+07,204374,5.1103e+06,84818,4094,4084,5182,5194
4.28754e+06,4.28753e+06,1.48907e+06,1.48906e+06,1.25306e+07,203936,5.89649e+06,99484,3971,3982,5190,5201
4.41984e+06,4.41981e+06,1.49199e+06,1.49198e+06,1.25201e+07,194737,4.46123e+06,88896,3961,3971,5181,5192
4.1456e+06,4.14557e+06,1.47644e+06,1.47643e+06,1.25877e+07,201748,6.29082e+06,96679,3963,3973,5187,5195
3.99333e+06,3.9933e+06,1.47609e+06,1.47608e+06,1.25508e+07,194556,5.93005e+06,99927,3972,3983,5184,5194
4.05007e+06,4.05014e+06,1.47305e+06,1.47304e+06,1.25856e+07,195816,5.74109e+06,96442,3973,3984,5204,5214
4.35081e+06,4.35097e+06,1.47903e+06,1.47903e+06,1.24332e+07,199607,6.07485e+06,104063,3956,3966,5189,5198
4.2163e+06,4.21627e+06,1.48142e+06,1.48141e+06,1.23704e+07,123111,5.77885e+06,96593,4031,4042,5200,5210
4.2854e+06,4.28546e+06,1.4924e+06,1.49239e+06,1.23504e+07,199496,5.91423e+06,29326,4079,4090,5182,5193
4.12196e+06,4.12193e+06,1.49045e+06,1.49044e+06,1.24057e+07,198163,5.51689e+06,93484,3976,3987,5169,5178
4.14895e+06,4.14908e+06,1.47388e+06,1.47387e+06,1.20435e+07,197547,5.88819e+06,98945,3950,3961,5192,5203
4.22188e+06,4.22188e+06,1.47997e+06,1.47996e+06,1.21825e+07,199238,5.88074e+06,96524,3965,3976,5195,5206
3.9912e+06,3.99117e+06,1.4695e+06,1.4695e+06,1.19721e+07,198957,4.66751e+06,88363,4018,4028,5177,5186
4.3969e+06,4.39703e+06,1.47412e+06,1.47411e+06,1.23942e+07,199896,6.46394e+06,99566,3966,3977,5178,5187
4.16976e+06,4.16973e+06,1.49677e+06,1.49676e+06,1.26624e+07,192284,5.904e+06,98034,3976,3987,5170,5180
4.11147e+06,4.11145e+06,1.49846e+06,1.49845e+06,1.2463e+07,198925,5.97676e+06,98837,3949,3961,5212,5226
3.99578e+06,3.99575e+06,1.48915e+06,1.48914e+06,1.23795e+07,197711,5.92358e+06,100735,3613,3624,5234,5208
3.9942e+06,3.99418e+06,1.4862e+06,1.48619e+06,1.22409e+07,202014,5.9186e+06,99448,3271,3281,5185,5195
4.00166e+06,4.00163e+06,1.47298e+06,1.47297e+06,1.22316e+07,194729,5.94266e+06,99650,3286,3297,5190,5200
4.03384e+06,4.0338e+06,1.47258e+06,1.47262e+06,1.24274e+07,195871,5.86603e+06,26662,3248,3260,5177,5186
3.98454e+06,3.98493e+06,1.4744e+06,1.47439e+06,1.20214e+07,122904,5.15471e+06,88816,3279,3290,4219,4228
3.98427e+06,3.98435e+06,1.47629e+06,1.4763e+06,1.22987e+07,198722,5.77767e+06,100375,3246,3257,3222,3232
3.9843e+06,3.98439e+06,1.47506e+06,1.47505e+06,1.20955e+07,201934,5.7729e+06,92408,3224,3235,3163,3174
3.98463e+06,3.98476e+06,1.47413e+06,1.47418e+06,1.23304e+07,197957,4.95827e+06,93898,3351,3363,3135,3147
3.98362e+06,3.98369e+06,1.48157e+06,1.48156e+06,1.2185e+07,196000,6.3015e+06,98000,3347,3358,3111,3126
3.98326e+06,3.98335e+06,1.47926e+06,1.47925e+06,1.21273e+07,198703,5.9572e+06,100412,3266,3277,3086,3095
3.98365e+06,3.98379e+06,1.47642e+06,1.47642e+06,1.20217e+07,192862,5.96032e+06,99139,3272,3283,3102,3113
4.07783e+06,4.09538e+06,1.47317e+06,1.47316e+06,1.24405e+07,201860,5.97451e+06,100285,3262,3247,3251,3263
4.01998e+06,4.01994e+06,1.48146e+06,1.48145e+06,1.22999e+07,197984,5.86398e+06,96815,3229,3240,3189,3200
4.13959e+06,4.13958e+06,1.49637e+06,1.49676e+06,1.23827e+07,199640,5.91505e+06,26755,3303,3314,3141,3150
4.38835e+06,4.38831e+06,1.50072e+06,1.50071e+06,1.2272e+07,196262,5.48592e+06,91248,3261,3272,3097,3105
4.07121e+06,4.07118e+06,1.50498e+06,1.50508e+06,1.24583e+07,201549,5.63027e+06,101167,3259,3270,3110,3121
4.18777e+06,4.18774e+06,1.4931e+06,1.49309e+06,1.22218e+07,121745,5.5699e+06,91356,3236,3247,3089,3100
4.17722e+06,4.1772e+06,1.47738e+06,1.47737e+06,1.21825e+07,198117,5.11075e+06,94082,3228,3239,3095,3106
3.98466e+06,3.98462e+06,1.47414e+06,1.47413e+06,1.18093e+07,194043,6.24772e+06,101495,3235,3247,3111,3120
3.98467e+06,3.98465e+06,1.4863e+06,1.48629e+06,1.21778e+07,194483,5.96197e+06,98510,3238,3249,3161,3170
3.98488e+06,3.98505e+06,1.47372e+06,1.47371e+06,1.19095e+07,201104,5.93669e+06,99235,3300,3311,3091,3100
3.98518e+06,3.98528e+06,1.47447e+06,1.47446e+06,1.24724e+07,199892,5.45114e+06,95055,3265,3276,3087,3098
4.08415e+06,4.08434e+06,1.48641e+06,1.4864e+06,1.24541e+07,217599,6.1462e+06,101536,3242,3252,3060,3069
4.00322e+06,4.00515e+06,1.47238e+06,1.47237e+06,8.79224e+06,111916,5.87261e+06,30355,3225,3235,3065,3075
4.07453e+06,4.07456e+06,1.47207e+06,1.47206e+06,8.75322e+06,185181,5.9632e+06,92712,3244,3255,3079,3088
4.61546e+06,4.61544e+06,1.43394e+06,1.43393e+06,8.62511e+06,100313,5.8769e+06,97906,3296,3306,3143,3154
4.44157e+06,4.44172e+06,1.39005e+06,1.39011e+06,8.44404e+06,114548,5.4988e+06,96995,3252,3263,3139,3150
4.18598e+06,4.186e+06,1.40007e+06,1.40007e+06,9.4207e+06,178751,5.57032e+06,91295,3271,3282,3083,3093
4.00196e+06,4.00211e+06,1.42768e+06,1.42776e+06,9.08833e+06,123047,5.67854e+06,98485,3245,3257,3068,3080
3.98486e+06,3.98483e+06,1.43508e+06,1.43507e+06,7.499e+06,103848,5.60005e+06,98053,3221,3232,3146,3157
3.98777e+06,3.98774e+06,1.42904e+06,1.42903e+06,9.44743e+06,179391,6.02044e+06,99346,3316,3327,3204,3180
3.98766e+06,3.98763e+06,1.46336e+06,1.46335e+06,8.66501e+06,115070,5.97263e+06,98258,3313,3324,3151,3160
3.98837e+06,3.98834e+06,1.45686e+06,1.45685e+06,7.72583e+06,106559,6.00861e+06,99418,3256,3267,3031,3040
4.16764e+06,4.1816e+06,1.46401e+06,1.4644e+06,9.37779e+06,173289,5.95071e+06,98405,3261,3273,3097,3108
4.3616e+06,4.36158e+06,1.46892e+06,1.46892e+06,7.75278e+06,113032,5.91592e+06,99691,3219,3230,3085,3096
4.53471e+06,4.54006e+06,1.46668e+06,1.46674e+06,8.60352e+06,115524,5.93174e+06,29337,3222,3233,3096,3107
4.41573e+06,4.41581e+06,1.4651e+06,1.4651e+06,8.33684e+06,160744,5.96872e+06,90760,3220,3231,3069,3078
4.18327e+06,4.18324e+06,1.47217e+06,1.47217e+06,8.6786e+06,120915,5.38957e+06,98785,3239,3250,3035,3045
4.47649e+06,4.47666e+06,1.46702e+06,1.467e+06,8.38142e+06,118951,5.9761e+06,97861,3244,3256,3155,3166
4.26086e+06,4.26283e+06,1.47996e+06,1.47995e+06,1.01187e+07,178404,5.72094e+06,93034,3243,3253,3122,3133
4.39435e+06,4.42143e+06,1.43079e+06,1.43095e+06,6.95005e+06,104011,5.10563e+06,92752,3230,3241,3028,3037
4.36034e+06,4.36031e+06,1.4659e+06,1.4659e+06,8.4607e+06,114679,6.00198e+06,99248,3238,3249,3029,3038
4.09952e+06,4.09961e+06,1.4533e+06,1.45334e+06,9.39574e+06,175300,5.9164e+06,98561,3346,3324,3036,3047
3.94604e+06,3.94615e+06,1.45644e+06,1.45644e+06,8.36725e+06,117282,5.97777e+06,101431,3271,3283,3044,3056
3.95389e+06,3.954e+06,1.47196e+06,1.47199e+06,8.23601e+06,123216,5.90449e+06,99247,3257,3268,3106,3118
3.93955e+06,3.93968e+06,1.43738e+06,1.43746e+06,7.79504e+06,159132,5.96986e+06,98989,3254,3267,3076,3086
3.94184e+06,3.94196e+06,1.39911e+06,1.39935e+06,8.40087e+06,108981,5.94272e+06,28120,3242,3253,3102,3112
3.93236e+06,3.93247e+06,1.40865e+06,1.40872e+06,8.39244e+06,117515,5.01884e+06,88665,3260,3271,3203,3214
3.9543e+06,3.95437e+06,1.42229e+06,1.42238e+06,8.5659e+06,171021,5.24833e+06,92619,3257,3269,3194,3205
3.98409e+06,3.98415e+06,1.39162e+06,1.39163e+06,8.66178e+06,109904,5.28047e+06,93277,3263,3275,3075,3084
3.9858e+06,3.98594e+06,1.42083e+06,1.42088e+06,8.41638e+06,117668,6.08768e+06,99114,3239,3250,3023,3032
3.9852e+06,3.98528e+06,1.44559e+06,1.4456e+06,8.47866e+06,163152,5.92102e+06,99994,3262,3274,3081,3090
3.93823e+06,3.93831e+06,1.43366e+06,1.43372e+06,8.68281e+06,121052,5.95043e+06,98299,3270,3281,2989,3000
3.9817e+06,3.9818e+06,1.43306e+06,1.43307e+06,8.46231e+06,116248,6.92354e+06,106031,3246,3257,3003,3012
3.97117e+06,3.97124e+06,1.4112e+06,1.41123e+06,8.48713e+06,163996,4.89727e+06,91334,3268,3280,3016,3029
4.32196e+06,4.32205e+06,1.44234e+06,1.44245e+06,8.60259e+06,121202,5.92126e+06,30944,3271,3282,3198,3210
4.9309e+06,4.931e+06,1.41505e+06,1.41506e+06,8.40116e+06,113288,5.76263e+06,88743,3271,3282,3053,3064
4.2472e+06,4.24736e+06,1.43986e+06,1.43991e+06,8.69037e+06,170399,5.66555e+06,98923,3243,3254,3054,3065
3.94998e+06,3.95006e+06,1.38671e+06,1.38672e+06,9.16056e+06,115681,5.18993e+06,91960,3222,3233,3020,3031
3.9732e+06,3.97326e+06,1.41512e+06,1.41515e+06,7.55229e+06,117890,5.32011e+06,96125,3218,3228,3003,3013
